Tipo;Ap1;Ap2;Nombre;Loc;Calle;Reserva;"Reserva Original";"Centro origen";Cen.Pref;Cen.Alt1;Cen.Alt2;Cen.Alt3;Cen.Alt4;Cen.Alt5;Cen.Alt6;Baremo;Prioridad;Estado;"Centro definitivo";"Numero de sorteo asignado";Modificacion
ebo;pape154;sape154;nombre154;nodata;nodata;0;0;NOCENTRO;"MARÍA ZAMBRANO";;;;;;;175;3;duplicada;nocentro;0;automatica
ebo;pape918;sape918;nombre918;nodata;nodata;0;0;NOCENTRO;"MARÍA ZAMBRANO";;;;;;;115;3;apta;nocentro;0;automatica
ebo;pape284;sape284;nombre284;nodata;nodata;0;0;NOCENTRO;"MARÍA ZAMBRANO";;;;;;;98;3;irregular;nocentro;0;automatica
ebo;pape725;sape725;nombre725;nodata;nodata;0;0;NOCENTRO;"MARÍA ZAMBRANO";;;;;;;94;3;apta;nocentro;0;automatica
ebo;pape867;sape867;nombre867;nodata;nodata;0;0;NOCENTRO;"MARÍA ZAMBRANO";;;;;;;10;3;duplicada;nocentro;0;automatica
ebo;pape983;sape983;nombre983;nodata;nodata;0;0;NOCENTRO;"MARÍA ZAMBRANO";;;;;;;168;2;irregular;nocentro;0;automatica
ebo;pape507;sape507;nombre507;nodata;nodata;0;0;NOCENTRO;"MARÍA ZAMBRANO";;;;;;;154;2;apta;nocentro;0;automatica
ebo;pape229;sape229;nombre229;nodata;nodata;0;0;NOCENTRO;"MARÍA ZAMBRANO";;;;;;;123;2;irregular;nocentro;0;automatica
ebo;pape849;sape849;nombre849;nodata;nodata;0;0;NOCENTRO;"MARÍA ZAMBRANO";;;;;;;90;2;duplicada;nocentro;0;automatica
ebo;pape898;sape898;nombre898;nodata;nodata;0;0;NOCENTRO;"MARÍA ZAMBRANO";;;;;;;70;2;duplicada;nocentro;0;automatica
ebo;pape979;sape979;nombre979;nodata;nodata;0;0;NOCENTRO;"MARÍA ZAMBRANO";;;;;;;64;2;irregular;nocentro;0;automatica
ebo;pape170;sape170;nombre170;nodata;nodata;0;0;NOCENTRO;"MARÍA ZAMBRANO";;;;;;;37;2;irregular;nocentro;0;automatica
ebo;pape386;sape386;nombre386;nodata;nodata;0;0;NOCENTRO;"MARÍA ZAMBRANO";;;;;;;22;2;apta;nocentro;0;automatica
ebo;pape769;sape769;nombre769;nodata;nodata;0;0;NOCENTRO;"MARÍA ZAMBRANO";;;;;;;16;2;duplicada;nocentro;0;automatica
ebo;pape203;sape203;nombre203;nodata;nodata;0;0;NOCENTRO;"MARÍA ZAMBRANO";;;;;;;136;1;duplicada;nocentro;0;automatica
ebo;pape396;sape396;nombre396;nodata;nodata;0;0;NOCENTRO;"MARÍA ZAMBRANO";;;;;;;24;1;duplicada;nocentro;0;automatica
ebo;pape749;sape749;nombre749;nodata;nodata;0;0;NOCENTRO;"MARÍA ZAMBRANO";;;;;;;17;1;duplicada;nocentro;0;automatica
ebo;pape780;sape780;nombre780;nodata;nodata;0;0;NOCENTRO;FIGUERUELAS;;;;;;;139;3;duplicada;nocentro;0;automatica
ebo;pape438;sape438;nombre438;nodata;nodata;0;0;NOCENTRO;FIGUERUELAS;;;;;;;65;3;apta;nocentro;0;automatica
ebo;pape231;sape231;nombre231;nodata;nodata;0;0;NOCENTRO;FIGUERUELAS;;;;;;;18;3;apta;nocentro;0;automatica
ebo;pape973;sape973;nombre973;nodata;nodata;0;0;NOCENTRO;FIGUERUELAS;;;;;;;192;2;irregular;nocentro;0;automatica
ebo;pape6;sape6;nombre6;nodata;nodata;0;0;NOCENTRO;FIGUERUELAS;;;;;;;134;2;duplicada;nocentro;0;automatica
ebo;pape748;sape748;nombre748;nodata;nodata;0;0;NOCENTRO;FIGUERUELAS;;;;;;;119;2;apta;nocentro;0;automatica
ebo;pape706;sape706;nombre706;nodata;nodata;0;0;NOCENTRO;FIGUERUELAS;;;;;;;37;2;irregular;nocentro;0;automatica
ebo;pape884;sape884;nombre884;nodata;nodata;0;0;NOCENTRO;FIGUERUELAS;;;;;;;18;2;duplicada;nocentro;0;automatica
ebo;pape724;sape724;nombre724;nodata;nodata;0;0;NOCENTRO;FIGUERUELAS;;;;;;;12;2;duplicada;nocentro;0;automatica
